Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1557343467.428763,533968,1,0
1,NewOrder,1557343467.428767,542590,0,0
2,Payment,1557343467.428770,540688,1,0
2,Payment,1557343467.428774,544341,1,0
1,NewOrder,1557343467.428778,552354,0,0
1,NewOrder,1557343467.428782,554150,1,0
1,NewOrder,1557343467.428809,562993,0,0
1,NewOrder,1557343467.428813,560656,1,0
2,Payment,1557343467.428817,564978,1,0
5,StockLevel,1557343467.428821,565366,0,0
2,Payment,1557343467.428825,567850,1,0
2,Payment,1557343467.428839,569851,0,0
1,NewOrder,1557343467.428843,572640,1,0
2,Payment,1557343467.430172,573022,0,0
1,NewOrder,1557343467.430176,579899,1,0
1,NewOrder,1557343467.430179,577702,0,0
2,Payment,1557343467.430183,581737,0,0
1,NewOrder,1557343467.430186,589762,1,0
5,StockLevel,1557343467.430190,583536,0,0
2,Payment,1557343467.430193,587786,0,0
2,Payment,1557343467.430197,591633,0,0
1,NewOrder,1557343467.430200,594870,1,0
1,NewOrder,1557343467.430203,596902,0,0
1,NewOrder,1557343467.430206,603602,1,0
1,NewOrder,1557343467.430210,601821,0,0
1,NewOrder,1557343467.430213,606325,0,0
1,NewOrder,1557343467.430222,609258,1,0
1,NewOrder,1557343467.431509,611148,0,0
1,NewOrder,1557343467.431514,615866,1,0
2,Payment,1557343467.431517,613990,0,0
1,NewOrder,1557343467.431521,621939,0,0
1,NewOrder,1557343467.431524,623890,1,0
1,NewOrder,1557343467.431527,628001,0,0
1,NewOrder,1557343467.431531,631793,1,0
1,NewOrder,1557343467.431534,633651,0,0
2,Payment,1557343467.431537,635534,1,0
2,Payment,1557343467.431541,637550,0,0
2,Payment,1557343467.431544,639388,1,0
1,NewOrder,1557343467.431547,643843,0,0
1,NewOrder,1557343467.431558,646388,1,0
4,Delivery,1557343467.432758,654104,0,0
2,Payment,1557343467.432762,648571,1,0
1,NewOrder,1557343467.432765,656261,1,0
1,NewOrder,1557343467.432768,659158,0,0
1,NewOrder,1557343467.432771,661791,1,0
2,Payment,1557343467.432775,663637,0,0
2,Payment,1557343467.432778,665392,1,0
1,NewOrder,1557343467.432782,671837,0,0
1,NewOrder,1557343467.432785,673900,1,0
2,Payment,1557343467.432788,675835,0,0
2,Payment,1557343467.432792,677700,1,0
2,Payment,1557343467.432795,679665,0,0
2,Payment,1557343467.433938,680443,1,0
1,NewOrder,1557343467.433942,687283,0,0
4,Delivery,1557343467.433946,691701,1,0
2,Payment,1557343467.433950,689959,0,0
1,NewOrder,1557343467.433953,694662,0,0
1,NewOrder,1557343467.433956,696962,1,0
1,NewOrder,1557343467.433959,699073,0,0
2,Payment,1557343467.433963,700881,1,0
4,Delivery,1557343467.433967,708660,0,0
2,Payment,1557343467.433970,704055,1,0
2,Payment,1557343467.433981,706774,1,0
2,Payment,1557343467.433984,710580,1,0
1,NewOrder,1557343467.435116,712609,0,0
1,NewOrder,1557343467.435122,714935,1,0
1,NewOrder,1557343467.435126,717131,0,0
2,Payment,1557343467.435130,718895,1,0
1,NewOrder,1557343467.435134,722541,0,0
1,NewOrder,1557343467.435138,724827,1,0
1,NewOrder,1557343467.435148,731569,0,0
1,NewOrder,1557343467.435152,731577,1,0
2,Payment,1557343467.435156,736633,0,0
2,Payment,1557343467.435161,734730,1,0
1,NewOrder,1557343467.435165,743167,1,0
2,Payment,1557343467.435178,740500,0,0
1,NewOrder,1557343467.436402,747417,0,0
1,NewOrder,1557343467.436406,749148,1,0
2,Payment,1557343467.436410,751220,0,0
4,Delivery,1557343467.436415,761217,1,0
1,NewOrder,1557343467.436419,756291,0,0
2,Payment,1557343467.436423,759278,0,0
1,NewOrder,1557343467.436427,766346,0,0
1,NewOrder,1557343467.436431,769826,1,0
3,OrderStatus,1557343467.436436,768069,0,0
2,Payment,1557343467.436440,771785,0,0
2,Payment,1557343467.436444,773633,1,0
2,Payment,1557343467.436448,775392,0,0
4,Delivery,1557343467.436459,785348,1,0
2,Payment,1557343467.437583,777281,0,0
2,Payment,1557343467.437586,780384,0,0
1,NewOrder,1557343467.437589,786267,0,0
1,NewOrder,1557343467.437591,791021,1,0
2,Payment,1557343467.437594,789046,0,0
1,NewOrder,1557343467.437596,797438,0,0
2,Payment,1557343467.437762,793850,1,0
2,Payment,1557343467.437766,799340,1,0
2,Payment,1557343467.437768,801080,0,0
1,NewOrder,1557343467.437771,804679,1,0
1,NewOrder,1557343467.437773,806795,0,0
1,NewOrder,1557343467.437782,811400,1,0
1,NewOrder,1557343467.437784,813140,0,0
2,Payment,1557343467.439093,813934,1,0
1,NewOrder,1557343467.439095,819075,0,0
1,NewOrder,1557343467.439098,822339,1,0
5,StockLevel,1557343467.439101,820830,0,0
4,Delivery,1557343467.439104,833123,0,0
4,Delivery,1557343467.439106,835231,1,0
2,Payment,1557343467.439109,837011,0,0
1,NewOrder,1557343467.439111,846457,1,0
1,NewOrder,1557343467.439114,844650,0,0
1,NewOrder,1557343467.439116,852856,0,0
2,Payment,1557343467.439118,850014,1,0
2,Payment,1557343467.439129,856067,1,0
2,Payment,1557343467.439132,858251,0,0
2,Payment,1557343467.439138,860350,1,0
2,Payment,1557343467.440258,860997,0,0
1,NewOrder,1557343467.440260,870565,1,0
2,Payment,1557343467.440262,864319,0,0
1,NewOrder,1557343467.440263,872350,0,0
2,Payment,1557343467.440264,874487,1,0
2,Payment,1557343467.440266,876377,0,0
5,StockLevel,1557343467.440268,877760,1,0
1,NewOrder,1557343467.440269,884517,0,0
4,Delivery,1557343467.440271,893382,1,0
1,NewOrder,1557343467.440272,890949,0,0
2,Payment,1557343467.440279,895220,0,0
2,Payment,1557343467.441490,895911,1,0
1,NewOrder,1557343467.441563,903573,0,0
2,Payment,1557343467.441564,899002,1,0
1,NewOrder,1557343467.441565,907595,1,0
1,NewOrder,1557343467.441566,911899,0,0
1,NewOrder,1557343467.441566,913592,1,0
2,Payment,1557343467.441567,915400,0,0
5,StockLevel,1557343467.441568,915360,1,0
2,Payment,1557343467.441569,919084,1,0
5,StockLevel,1557343467.441570,917066,0,0
1,NewOrder,1557343467.441570,923844,0,0
1,NewOrder,1557343467.441571,925802,1,0
1,NewOrder,1557343467.441576,931621,0,0
2,Payment,1557343467.442646,928767,1,0
2,Payment,1557343467.442647,932663,1,0
2,Payment,1557343467.442648,934887,0,0
2,Payment,1557343467.442649,936696,1,0
1,NewOrder,1557343467.442649,943991,0,0
1,NewOrder,1557343467.442650,941359,1,0
1,NewOrder,1557343467.442651,951141,1,0
2,Payment,1557343467.442652,948745,0,0
1,NewOrder,1557343467.442652,955810,0,0
1,NewOrder,1557343467.442653,958384,1,0
1,NewOrder,1557343467.442654,965741,0,0
5,StockLevel,1557343467.443757,959573,1,0
2,Payment,1557343467.443764,962813,1,0
1,NewOrder,1557343467.443765,967779,1,0
3,OrderStatus,1557343467.443767,966248,0,0
2,Payment,1557343467.443768,969849,0,0
2,Payment,1557343467.443770,971730,1,0
4,Delivery,1557343467.443771,980685,0,0
1,NewOrder,1557343467.443772,977020,1,0
1,NewOrder,1557343467.443774,985908,1,0
1,NewOrder,1557343467.443775,989377,0,0
1,NewOrder,1557343467.443778,995289,1,0
2,Payment,1557343467.444898,991082,0,0
2,Payment,1557343467.444899,996043,0,0
1,NewOrder,1557343467.444900,998721,1,0
2,Payment,1557343467.444901,1000800,0,0
1,NewOrder,1557343467.444902,1006911,1,0
1,NewOrder,1557343467.444906,1011359,0,0
3,OrderStatus,1557343467.451937,1001645,1,0
2,Payment,1557343467.453221,1005060,1,0
2,Payment,1557343467.455496,1004525,0,0
1,NewOrder,1557343467.457711,1005193,1,0
1,NewOrder,1557343467.460689,1007630,0,0
2,Payment,1557343467.463062,1003037,1,0
1,NewOrder,1557343467.466377,1006688,1,0
2,Payment,1557343467.468723,1002521,0,0
1,NewOrder,1557343467.472493,1005365,0,0
2,Payment,1557343467.472499,1003551,1,0
1,NewOrder,1557343467.475784,1004437,1,0
1,NewOrder,1557343467.478139,1006232,0,0
5,StockLevel,1557343467.480586,1001280,1,0
2,Payment,1557343467.481691,1004532,1,0
2,Payment,1557343467.483898,1004242,0,0
1,NewOrder,1557343467.486091,1007626,1,0
4,Delivery,1557343467.488299,1011457,0,0
2,Payment,1557343467.494011,1002550,1,0
4,Delivery,1557343467.496403,1011436,1,0
1,NewOrder,1557343467.499849,1005489,0,0
3,OrderStatus,1557343467.505737,1002061,0,0
2,Payment,1557343467.508018,1004993,0,0
2,Payment,1557343467.508020,1003171,1,0
5,StockLevel,1557343467.511571,1001321,1,0
1,NewOrder,1557343467.512840,1005565,1,0
2,Payment,1557343467.512850,1003152,0,0
2,Payment,1557343467.516569,1004454,0,0
1,NewOrder,1557343467.518780,1005740,1,0
1,NewOrder,1557343467.521195,1005086,0,0
1,NewOrder,1557343467.524679,1004512,1,0
5,StockLevel,1557343467.525766,1002268,0,0
2,Payment,1557343467.529017,1002074,0,0
1,NewOrder,1557343467.530106,1004026,1,0
1,NewOrder,1557343467.531406,1006036,0,0
1,NewOrder,1557343467.534740,1007296,1,0
2,Payment,1557343467.538068,1002199,0,0
1,NewOrder,1557343467.540303,1006531,0,0
2,Payment,1557343467.542562,1002574,1,0
1,NewOrder,1557343467.545988,1006775,1,0
1,NewOrder,1557343467.547090,1007575,0,0
1,NewOrder,1557343467.552830,1008158,1,0
1,NewOrder,1557343467.555062,1008172,0,0
5,StockLevel,1557343467.562112,1000793,1,0
1,NewOrder,1557343467.562127,1008987,1,0
2,Payment,1557343467.563264,1002863,0,0
2,Payment,1557343467.565680,1003447,0,0
1,NewOrder,1557343467.569153,1004326,0,0
2,Payment,1557343467.571352,1004391,1,0
2,Payment,1557343467.573684,1003950,0,0
1,NewOrder,1557343467.576064,1005306,1,0
4,Delivery,1557343467.577142,1013115,0,0
2,Payment,1557343467.581738,1002887,1,0
2,Payment,1557343467.583970,1004302,1,0
1,NewOrder,1557343467.588768,1003935,1,0
2,Payment,1557343467.589917,1004573,0,0
5,StockLevel,1557343467.592397,1001829,1,0
1,NewOrder,1557343467.594855,1007319,1,0
3,OrderStatus,1557343467.594856,1001815,0,0
2,Payment,1557343467.597111,1003184,0,0
1,NewOrder,1557343467.600488,1004459,0,0
2,Payment,1557343467.602889,1004124,1,0
2,Payment,1557343467.605246,1003846,0,0
2,Payment,1557343467.607559,1003346,1,0
1,NewOrder,1557343467.608711,1007709,0,0
1,NewOrder,1557343467.611213,1009359,1,0
4,Delivery,1557343467.615795,1012157,0,0
2,Payment,1557343467.620462,1004503,1,0
1,NewOrder,1557343467.625078,1008406,1,0
1,NewOrder,1557343467.628658,1006655,0,0
2,Payment,1557343467.634654,1002451,1,0
2,Payment,1557343467.634670,1004414,0,0
1,NewOrder,1557343467.636205,1007745,1,0
2,Payment,1557343467.639794,1002274,0,0
1,NewOrder,1557343467.642192,1007304,0,0
5,StockLevel,1557343467.643288,1003329,1,0
2,Payment,1557343467.647627,1004033,1,0
2,Payment,1557343467.649860,1003681,0,0
2,Payment,1557343467.651220,1004434,1,0
1,NewOrder,1557343467.653671,1005143,0,0
1,NewOrder,1557343467.655948,1008843,1,0
2,Payment,1557343467.659483,1003198,0,0
2,Payment,1557343467.662024,1004915,0,0
4,Delivery,1557343467.665443,1013417,1,0
2,Payment,1557343467.666563,1003279,0,0
2,Payment,1557343467.670239,1003003,0,0
1,NewOrder,1557343467.673643,1007001,0,0
1,NewOrder,1557343467.678499,1010827,1,0
2,Payment,1557343467.679649,1003941,0,0
1,NewOrder,1557343467.684127,1010028,0,0
2,Payment,1557343467.689872,1002450,1,0
2,Payment,1557343467.692323,1003971,1,0
1,NewOrder,1557343467.694679,1008123,0,0
1,NewOrder,1557343467.696860,1007986,1,0
1,NewOrder,1557343467.703739,1006079,0,0
1,NewOrder,1557343467.704890,1010213,1,0
2,Payment,1557343467.710982,1002200,0,0
2,Payment,1557343467.713500,1003406,0,0
1,NewOrder,1557343467.714696,1009028,1,0
3,OrderStatus,1557343467.717572,1000533,0,0
4,Delivery,1557343467.718665,1013135,0,0
1,NewOrder,1557343467.723057,1006684,1,0
3,OrderStatus,1557343467.729888,1002695,1,0
1,NewOrder,1557343467.732396,1004527,0,0
1,NewOrder,1557343467.732557,1007787,1,0
1,NewOrder,1557343467.737350,1005735,0,0
2,Payment,1557343467.740704,1004214,1,0
4,Delivery,1557343467.743134,1010656,0,0
2,Payment,1557343467.744644,1003822,1,0
2,Payment,1557343467.749409,1002501,1,0
2,Payment,1557343467.752811,1002921,1,0
3,OrderStatus,1557343467.753954,1001111,0,0
2,Payment,1557343467.755095,1002639,0,0
1,NewOrder,1557343467.756645,1006099,1,0
5,StockLevel,1557343467.757787,1001729,0,0
4,Delivery,1557343467.760247,1010638,0,0
2,Payment,1557343467.763572,1002075,1,0
2,Payment,1557343467.765783,1003086,1,0
2,Payment,1557343467.769073,1003688,1,0
4,Delivery,1557343467.770315,1012057,0,0
2,Payment,1557343467.772532,1003941,1,0
